Time,Direction,Location_id,Count,Hour,Day
2013-06-16 22:00:00,N,159E_1ENT,235,22,2013-06-16
2013-06-16 23:00:00,N,159E_1ENT,143,23,2013-06-16
2013-06-16 01:00:00,N,159W_1EXIT,83,1,2013-06-16
2013-06-16 02:00:00,N,159W_1EXIT,73,2,2013-06-16
2013-06-16 03:00:00,N,159W_1EXIT,53,3,2013-06-16
2013-06-16 04:00:00,N,159W_1EXIT,51,4,2013-06-16
2013-06-16 05:00:00,N,159W_1EXIT,45,5,2013-06-16
2013-06-16 06:00:00,N,159W_1EXIT,42,6,2013-06-16
2013-06-16 07:00:00,N,159W_1EXIT,80,7,2013-06-16
2013-06-16 08:00:00,N,159W_1EXIT,68,8,2013-06-16
2013-06-16 09:00:00,N,159W_1EXIT,125,9,2013-06-16
2013-06-16 10:00:00,N,159W_1EXIT,207,10,2013-06-16
2013-06-16 11:00:00,N,159W_1EXIT,215,11,2013-06-16
2013-06-16 12:00:00,N,159W_1EXIT,211,12,2013-06-16
2013-06-16 13:00:00,N,159W_1EXIT,168,13,2013-06-16
2013-06-16 14:00:00,N,159W_1EXIT,193,14,2013-06-16
2013-06-16 15:00:00,N,159W_1EXIT,185,15,2013-06-16
2013-06-16 16:00:00,N,159W_1EXIT,183,16,2013-06-16
2013-06-16 17:00:00,N,159W_1EXIT,212,17,2013-06-16
2013-06-16 18:00:00,N,159W_1EXIT,192,18,2013-06-16
2013-06-16 19:00:00,N,159W_1EXIT,171,19,2013-06-16
2013-06-16 20:00:00,N,159W_1EXIT,169,20,2013-06-16
2013-06-16 21:00:00,N,159W_1EXIT,165,21,2013-06-16
2013-06-16 22:00:00,N,159W_1EXIT,207,22,2013-06-16
2013-06-16 23:00:00,N,159W_1EXIT,162,23,2013-06-16
2013-06-16 01:00:00,N,159W_1ENT,65,1,2013-06-16
2013-06-16 02:00:00,N,159W_1ENT,47,2,2013-06-16
2013-06-16 03:00:00,N,159W_1ENT,34,3,2013-06-16
2013-06-16 04:00:00,N,159W_1ENT,13,4,2013-06-16
2013-06-16 05:00:00,N,159W_1ENT,14,5,2013-06-16
2013-06-16 06:00:00,N,159W_1ENT,25,6,2013-06-16
2013-06-16 07:00:00,N,159W_1ENT,66,7,2013-06-16
2013-06-16 08:00:00,N,159W_1ENT,66,8,2013-06-16
2013-06-16 09:00:00,N,159W_1ENT,88,9,2013-06-16
2013-06-16 10:00:00,N,159W_1ENT,124,10,2013-06-16
2013-06-16 11:00:00,N,159W_1ENT,190,11,2013-06-16
2013-06-16 12:00:00,N,159W_1ENT,210,12,2013-06-16
2013-06-16 13:00:00,N,159W_1ENT,223,13,2013-06-16
2013-06-16 14:00:00,N,159W_1ENT,202,14,2013-06-16
2013-06-16 15:00:00,N,159W_1ENT,219,15,2013-06-16
2013-06-16 16:00:00,N,159W_1ENT,200,16,2013-06-16
2013-06-16 17:00:00,N,159W_1ENT,200,17,2013-06-16
2013-06-16 18:00:00,N,159W_1ENT,164,18,2013-06-16
2013-06-16 19:00:00,N,159W_1ENT,165,19,2013-06-16
